Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10
661,0.002512704,0.002382646,0.002526799,0.00242815,0.002475023,0.002401096,0.002479109,0.002474904,0.002914765,0.00246852
662,0.002468439,0.002340016,0.002480144,0.002382684,0.002427781,0.002353758,0.002426257,0.002424978,0.002866728,0.002421535
663,0.00242461,0.002307137,0.002449239,0.002349499,0.002393699,0.002318235,0.002388524,0.002389436,0.002825845,0.002384766
664,0.00239282,0.002279282,0.002417269,0.002322659,0.002364779,0.002290086,0.002356098,0.002357871,0.002794942,0.002351697
665,0.002366618,0.002254102,0.002386,0.002298816,0.002338794,0.002265405,0.002327061,0.002329243,0.002768812,0.002321957
666,0.002345351,0.002234282,0.00236552,0.002278208,0.002320019,0.002244285,0.002308781,0.002312342,0.002748098,0.002308572
667,0.002326945,0.002218888,0.002348222,0.002262124,0.002299956,0.002229765,0.002291645,0.002300441,0.002733702,0.002295925
668,0.002311435,0.00220738,0.002333779,0.002249503,0.00228144,0.002219812,0.002275888,0.002291552,0.002723617,0.002285021
669,0.00230529,0.002204689,0.002326392,0.002241329,0.002285123,0.002211717,0.002266129,0.002280058,0.002714721,0.002285739
670,0.002298457,0.002201777,0.002320257,0.002235292,0.00228219,0.002207985,0.002264448,0.002272756,0.002706205,0.002283076
671,0.002292198,0.002199067,0.002315294,0.002230919,0.002275397,0.002206786,0.002267834,0.002268024,0.002698165,0.002278328
672,0.002295295,0.002199547,0.002313396,0.002228703,0.002273736,0.002202125,0.002268164,0.002261203,0.002692159,0.002275219
673,0.002296721,0.002200493,0.002309313,0.002222982,0.002273178,0.002203817,0.002266321,0.002260026,0.002690515,0.002269872
674,0.002296291,0.002202059,0.002304769,0.002216364,0.002273218,0.002209776,0.00226275,0.002261929,0.002691096,0.002262999
675,0.002289234,0.002206371,0.002309153,0.00222268,0.002271973,0.002215837,0.002256701,0.002257487,0.002685387,0.002255782
676,0.002289377,0.002202823,0.002312131,0.00222463,0.00227163,0.002220655,0.002254664,0.002255081,0.002684539,0.002255614
677,0.00229255,0.002193784,0.002313768,0.00222372,0.00227109,0.00222434,0.002254955,0.002253911,0.002686832,0.002259822
678,0.002279819,0.002182472,0.002311805,0.00222327,0.002263368,0.002225285,0.002252138,0.002251671,0.002688236,0.002261162
679,0.002273449,0.002177182,0.002309104,0.002219879,0.002257545,0.002222956,0.002249092,0.002247834,0.002682585,0.002256232
680,0.002271119,0.002175669,0.002305041,0.002214429,0.002252971,0.002218311,0.002245175,0.002243037,0.002672318,0.0022478
681,0.002267102,0.002172111,0.002293236,0.00220824,0.002248401,0.002212603,0.002234872,0.002239313,0.002663001,0.002245667
682,0.002265935,0.002164871,0.002284295,0.002202113,0.002243757,0.002208853,0.002225883,0.002231222,0.002649195,0.002239104
683,0.002264975,0.002155273,0.002276563,0.002195106,0.002238102,0.002205423,0.002217251,0.002220655,0.002632821,0.002229097
684,0.002248605,0.002146938,0.002262626,0.002179942,0.002223898,0.00219313,0.002204099,0.002214441,0.00262081,0.002215053
685,0.002230285,0.002134829,0.002246128,0.002163659,0.002208103,0.002178561,0.002187178,0.002201793,0.002606302,0.002202136
686,0.00221101,0.002120657,0.00222812,0.00214698,0.002191102,0.00216213,0.002169313,0.002184929,0.002590427,0.002189734
687,0.002196735,0.002112346,0.002213679,0.002135159,0.002174242,0.002144044,0.002168194,0.002170696,0.0025788,0.002176058
688,0.00217604,0.002090038,0.002191369,0.002114426,0.002154411,0.002119783,0.002153044,0.002151978,0.00256008,0.002154751
689,0.002148468,0.002056073,0.002161446,0.002086308,0.002130803,0.002090743,0.002126427,0.002127137,0.00253332,0.002126057
690,0.002105918,0.002015917,0.002120112,0.00205582,0.002096682,0.002064839,0.002094314,0.002080619,0.002485172,0.002086303
691,0.00205464,0.001965906,0.002084296,0.002018394,0.002055431,0.002023833,0.002052179,0.002035452,0.002442774,0.00204299
692,0.002000952,0.001914235,0.002050392,0.001976846,0.002010193,0.001973942,0.002002869,0.001992341,0.002402494,0.00199917
693,0.001957703,0.00187897,0.002007432,0.001934973,0.001965486,0.001926106,0.001949056,0.001951194,0.002353066,0.00196012
694,0.001915383,0.001840065,0.001953897,0.001889493,0.001922443,0.001873428,0.001894569,0.001910134,0.0023032,0.001918045
695,0.001875018,0.001798427,0.001896707,0.001842082,0.001878058,0.001819205,0.001842667,0.001866043,0.002254246,0.00187452
696,0.001841857,0.001753078,0.001844193,0.001794248,0.001826615,0.001768338,0.001803444,0.001810801,0.002210818,0.001831399
697,0.001797962,0.001707026,0.001795507,0.001747404,0.001777477,0.001725993,0.001759734,0.001764873,0.00216475,0.001784449
698,0.001750705,0.001662329,0.001750304,0.001700988,0.001730775,0.001688169,0.001715241,0.001721888,0.002117711,0.001735046
