Var1,Var2_1,Var2_2,Var2_3,Var2_4
765,4.49E-05,6.52E-05,8.37E-05,8.51E-05
766,4.87E-05,6.26E-05,9.42E-05,7.84E-05
767,5.07E-05,6.15E-05,9.72E-05,7.36E-05
768,5.14E-05,6.48E-05,9.22E-05,7.22E-05
769,5.58E-05,6.40E-05,9.74E-05,6.63E-05
770,5.77E-05,6.27E-05,9.59E-05,6.38E-05
771,5.70E-05,6.12E-05,8.75E-05,6.45E-05
772,5.55E-05,6.99E-05,8.81E-05,7.09E-05
773,5.76E-05,6.86E-05,8.75E-05,6.95E-05
774,6.07E-05,6.38E-05,8.51E-05,6.61E-05
775,5.76E-05,7.07E-05,7.87E-05,7.52E-05
776,6.02E-05,7.10E-05,8.32E-05,7.87E-05
777,6.32E-05,6.85E-05,8.93E-05,7.94E-05
778,6.18E-05,6.60E-05,8.82E-05,7.91E-05
779,6.26E-05,6.68E-05,9.03E-05,7.99E-05
780,6.25E-05,6.85E-05,9.17E-05,7.96E-05
781,6.08E-05,7.11E-05,9.17E-05,7.78E-05
782,6.65E-05,7.77E-05,9.98E-05,7.58E-05
783,6.92E-05,8.17E-05,9.77E-05,7.35E-05
784,6.93E-05,8.25E-05,9.08E-05,7.17E-05
785,6.75E-05,7.76E-05,9.11E-05,7.28E-05
786,6.78E-05,7.51E-05,9.32E-05,7.57E-05
787,7.04E-05,7.38E-05,9.63E-05,8.00E-05
788,7.62E-05,7.30E-05,0.000100047,8.59E-05
789,7.54E-05,7.39E-05,9.78E-05,8.44E-05
790,7.15E-05,7.33E-05,9.87E-05,8.29E-05
791,6.40E-05,7.04E-05,0.000105176,8.25E-05
792,6.45E-05,7.81E-05,0.000102183,8.50E-05
793,6.95E-05,8.24E-05,0.000104244,9.08E-05
794,7.70E-05,8.38E-05,0.000108245,9.55E-05
795,8.11E-05,8.17E-05,0.000106335,8.66E-05
796,8.64E-05,8.48E-05,0.000110734,8.43E-05
797,8.82E-05,8.78E-05,0.000111409,8.11E-05
798,8.10E-05,8.76E-05,9.97E-05,7.23E-05
799,8.52E-05,8.00E-05,0.000100028,7.07E-05
800,8.65E-05,7.68E-05,9.95E-05,7.11E-05
801,8.39E-05,7.92E-05,9.74E-05,7.36E-05
802,8.28E-05,8.26E-05,0.000100951,8.52E-05
803,8.23E-05,8.94E-05,0.000105521,9.18E-05
804,8.15E-05,9.47E-05,0.000108917,9.46E-05
805,7.88E-05,8.80E-05,0.000105841,9.11E-05
806,8.73E-05,9.03E-05,0.000108899,9.38E-05
807,9.41E-05,9.59E-05,0.000110089,9.53E-05
808,9.45E-05,0.000102993,0.000106192,9.27E-05
809,9.08E-05,0.000103311,0.000127171,9.77E-05
810,9.25E-05,9.81E-05,0.000137604,9.62E-05
811,9.55E-05,9.03E-05,0.000138641,8.90E-05
812,8.87E-05,8.71E-05,0.000130525,7.65E-05
813,8.86E-05,8.51E-05,0.000139138,7.76E-05
814,9.13E-05,8.48E-05,0.000146513,8.39E-05
815,9.60E-05,8.67E-05,0.000144476,9.31E-05
816,8.80E-05,8.91E-05,0.000121325,8.95E-05
817,7.93E-05,8.99E-05,9.97E-05,8.93E-05
818,7.03E-05,8.79E-05,8.31E-05,9.40E-05
819,6.39E-05,7.60E-05,8.96E-05,0.000110879
820,6.82E-05,8.09E-05,8.88E-05,0.000118549
821,7.53E-05,8.51E-05,8.62E-05,0.000117327
822,7.91E-05,7.25E-05,8.65E-05,0.000104547
823,8.42E-05,7.07E-05,0.00010095,8.80E-05
824,8.26E-05,6.69E-05,0.000112029,7.59E-05
825,7.44E-05,6.18E-05,0.000116491,7.02E-05
826,6.57E-05,7.19E-05,0.000112904,7.01E-05
827,5.97E-05,7.75E-05,0.000107412,6.66E-05
828,5.52E-05,8.12E-05,9.99E-05,5.89E-05
829,5.20E-05,8.45E-05,8.97E-05,4.48E-05
830,4.95E-05,6.50E-05,8.63E-05,3.80E-05
831,4.93E-05,4.86E-05,7.96E-05,4.05E-05
832,5.18E-05,3.87E-05,6.92E-05,5.17E-05
833,5.89E-05,3.78E-05,6.24E-05,6.57E-05
834,5.10E-05,3.90E-05,5.39E-05,4.67E-05
835,4.21E-05,4.16E-05,5.10E-05,3.39E-05
836,3.89E-05,4.59E-05,6.12E-05,5.33E-05
837,3.88E-05,3.48E-05,6.38E-05,3.10E-05
838,3.93E-05,3.41E-05,7.19E-05,2.09E-05
839,4.06E-05,4.05E-05,8.05E-05,1.89E-05
840,4.41E-05,4.79E-05,7.69E-05,1.78E-05
841,4.37E-05,4.92E-05,7.38E-05,3.04E-05
842,4.09E-05,4.23E-05,7.21E-05,3.98E-05
843,3.57E-05,2.55E-05,7.24E-05,3.95E-05
844,3.21E-05,3.71E-05,6.14E-05,3.08E-05
845,2.72E-05,3.63E-05,6.38E-05,3.04E-05
846,2.61E-05,3.61E-05,6.91E-05,3.43E-05
847,4.37E-05,7.06E-05,5.04E-05,3.39E-05
848,4.42E-05,6.59E-05,5.33E-05,3.79E-05
849,4.59E-05,6.50E-05,5.03E-05,3.40E-05
850,4.98E-05,7.08E-05,4.10E-05,2.31E-05
851,4.21E-05,5.98E-05,5.16E-05,2.68E-05
852,4.26E-05,4.42E-05,5.14E-05,2.85E-05
853,4.47E-05,2.89E-05,5.59E-05,2.98E-05
854,4.22E-05,1.83E-05,8.32E-05,3.26E-05
855,2.43E-05,1.39E-05,5.48E-05,4.19E-05
856,2.67E-05,1.47E-05,5.20E-05,4.60E-05
857,3.73E-05,1.88E-05,6.38E-05,4.93E-05
858,2.92E-05,2.25E-05,6.74E-05,6.31E-05
859,2.38E-05,2.50E-05,6.12E-05,5.28E-05
860,2.43E-05,2.71E-05,5.29E-05,5.09E-05
861,3.12E-05,2.93E-05,4.49E-05,6.16E-05
862,4.63E-05,3.19E-05,3.70E-05,5.71E-05
863,4.60E-05,5.46E-05,3.93E-05,3.81E-05
864,4.19E-05,7.26E-05,5.12E-05,2.14E-05
865,4.41E-05,5.88E-05,7.60E-05,2.47E-05
866,3.81E-05,5.40E-05,7.92E-05,1.74E-05
867,4.28E-05,4.84E-05,7.94E-05,2.00E-05
868,4.66E-05,3.89E-05,7.38E-05,2.98E-05
869,1.90E-05,1.52E-05,5.39E-05,4.11E-05
870,1.00E-05,1.87E-05,4.80E-05,7.16E-05
871,9.98E-06,3.07E-05,4.19E-05,9.22E-05
872,1.48E-05,4.44E-05,3.36E-05,9.47E-05
873,2.51E-05,5.66E-05,3.71E-05,6.42E-05
874,4.47E-05,6.19E-05,5.33E-05,2.81E-05
875,5.62E-05,5.56E-05,6.80E-05,9.82E-06
876,5.18E-05,3.43E-05,7.56E-05,2.06E-05
877,5.03E-05,3.68E-05,8.74E-05,1.36E-05
878,3.34E-05,4.29E-05,9.06E-05,1.33E-05
879,1.55E-05,4.69E-05,8.79E-05,2.33E-05
880,1.12E-05,4.25E-05,7.94E-05,5.06E-05
881,2.47E-05,5.14E-05,9.31E-05,4.15E-05
882,2.79E-05,4.87E-05,8.18E-05,4.48E-05
883,2.67E-05,3.51E-05,5.60E-05,4.77E-05
884,3.47E-05,8.67E-06,3.95E-05,1.62E-05
885,3.49E-05,1.28E-05,3.66E-05,3.61E-05
886,2.94E-05,2.37E-05,3.30E-05,3.84E-05
887,2.32E-05,3.67E-05,2.69E-05,2.07E-05
888,3.38E-05,4.46E-05,2.03E-05,1.86E-05
889,5.06E-05,5.23E-05,5.41E-05,2.80E-05
890,5.38E-05,5.36E-05,6.86E-05,3.37E-05
891,4.29E-05,4.85E-05,5.75E-05,3.02E-05
892,4.19E-05,4.40E-05,8.05E-05,2.46E-06
893,4.30E-05,6.69E-05,7.60E-05,2.71E-05
894,4.04E-05,7.94E-05,6.02E-05,3.61E-05
895,2.87E-05,6.32E-05,3.93E-05,6.36E-06
896,-1.93E-06,3.89E-05,3.77E-05,5.07E-05
897,-2.19E-06,4.62E-05,4.23E-05,7.04E-05
898,-1.34E-05,4.05E-05,5.53E-05,7.53E-05
899,-6.65E-05,-1.13E-05,7.72E-05,7.53E-05
900,-1.93E-05,2.85E-05,6.23E-05,4.31E-05
